Name,Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date,Stage Order,Stage Label
DEAL-001 Naruto,Naruto,OWNER_001,COMPANY089,Open,,High,489360.0,2026-02-26,B. Sales Qualified Leads,Service + Spectra,Mining,2025-12-26,2.0,Sales Qualified Leads
DEAL-002 Sasuke,Sasuke,OWNER_001,COMPANY091,Open,,,17616960.0,2026-02-28,B. Sales Qualified Leads,,Mining,2025-09-15,2.0,Sales Qualified Leads
DEAL-003 Sasuke,Sasuke,OWNER_002,COMPANY124,Open,,Medium,611700.0,2026-02-26,E. Proposal/Commercials Sent,,Powerline,2025-11-12,5.0,Proposal/Commercials Sent
DEAL-004 Sakura,Sakura,OWNER_002,COMPANY046,Open,,Low,2348928.0,2026-03-20,E. Proposal/Commercials Sent,,Powerline,2025-10-14,5.0,Proposal/Commercials Sent
DEAL-005 Sakura,Sakura,OWNER_002,COMPANY148,Open,,High,428190.0,2026-02-26,E. Proposal/Commercials Sent,,Powerline,2025-10-10,5.0,Proposal/Commercials Sent
DEAL-006 Sakura,Sakura,OWNER_002,COMPANY047,Open,,Medium,2936160.0,2026-02-12,E. Proposal/Commercials Sent,,Powerline,2025-07-07,5.0,Proposal/Commercials Sent
DEAL-007 Sakura,Sakura,OWNER_003,COMPANY197,Open,,Low,305850000.0,2024-09-30,D. Feasibility,Pure Service,Tender,2024-08-30,4.0,Feasibility
DEAL-008 Sakura,Sakura,OWNER_001,COMPANY177,On Hold,,Medium,,2025-06-11,M. Projects On Hold,,Powerline,2024-11-17,13.0,Projects On Hold
DEAL-009 Sakura,Sakura,OWNER_001,COMPANY094,Open,,Medium,,2025-06-12,M. Projects On Hold,,Renewables,2024-11-17,13.0,Projects On Hold
DEAL-010 Sakura,Sakura,OWNER_001,COMPANY178,On Hold,,Medium,,2025-06-23,M. Projects On Hold,,Renewables,2024-08-09,13.0,Projects On Hold
DEAL-011 Sakura,Sakura,OWNER_004,COMPANY149,Open,,High,4281900.0,2026-01-31,H. Work Order Received,Spectra + DMO,DSP,2025-11-19,8.0,Work Order Received
DEAL-012 Sakura,Sakura,OWNER_004,COMPANY149,Open,,Low,6117000.0,2026-03-25,F. Negotiations,Hardware,DSP,2025-11-19,6.0,Negotiations
DEAL-013 Sakura,Sakura,OWNER_002,COMPANY171,Open,,Low,1835100.0,2026-02-20,E. Proposal/Commercials Sent,,Renewables,2025-05-21,5.0,Proposal/Commercials Sent
DEAL-014 Sakura,Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.523200001,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-09-15,5.0,Proposal/Commercials Sent
DEAL-015 Sakura,Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.523200001,2026-02-28,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08,5.0,Proposal/Commercials Sent
DEAL-016 Sakura,Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.523200001,2026-03-31,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08,5.0,Proposal/Commercials Sent
DEAL-017 Sakura,Sakura,OWNER_004,COMPANY149,Open,,High,12234000.0,2026-02-14,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,,5.0,Proposal/Commercials Sent
DEAL-018 Sakura,Sakura,OWNER_004,COMPANY129,Open,,High,1835100.0,2026-01-08,F. Negotiations,Service + Spectra,Mining,2025-11-14,6.0,Negotiations
DEAL-019 Sakura,Sakura,OWNER_004,COMPANY129,Open,,Medium,1101060.0,2026-01-15,E. Proposal/Commercials Sent,Dock + Spectra + Service,Mining,2025-11-14,5.0,Proposal/Commercials Sent
DEAL-020 Sakura,Sakura,OWNER_004,COMPANY107,Open,,Medium,3670200.0,2026-01-15,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,2025-11-14,5.0,Proposal/Commercials Sent
DEAL-021 Sakura,Sakura,OWNER_004,COMPANY103,Open,,Low,5505300.0,2026-02-13,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,2025-11-14,5.0,Proposal/Commercials Sent
DEAL-022 Sakura,Sakura,OWNER_004,COMPANY077,Open,,Low,367020.0,2025-12-15,C. Demo Done,Pure Service,DSP,2025-11-14,3.0,Demo Done
DEAL-023 Sakura,Sakura,OWNER_004,COMPANY026,Open,,High,122340.0,2026-03-10,E. Proposal/Commercials Sent,Dock + DMO + Spectra,Construction,2025-11-14,5.0,Proposal/Commercials Sent
DEAL-024 Sakura,Sakura,OWNER_004,COMPANY193,Open,,High,122340.0,2026-01-31,F. Negotiations,Service + Spectra,Mining,2025-11-14,6.0,Negotiations
DEAL-025 Sakura,Sakura,OWNER_003,COMPANY111,Open,,Medium,5235907.32,2026-01-15,B. Sales Qualified Leads,Pure Service,Railways,2025-11-17,2.0,Sales Qualified Leads
DEAL-026 Sakura,Sakura,OWNER_001,COMPANY169,Open,,High,14680800.0,2026-01-31,D. Feasibility,Service + Spectra,Renewables,2025-11-17,4.0,Feasibility
DEAL-027 Sakura,Sakura,OWNER_001,COMPANY183,Open,,High,89308.2,2025-11-19,F. Negotiations,Pure Service,Mining,2025-11-17,6.0,Negotiations
DEAL-028 Sakura,Sakura,OWNER_003,COMPANY009,Open,,Low,2446800.0,2026-02-15,E. Proposal/Commercials Sent,Pure Service,Renewables,2025-11-18,5.0,Proposal/Commercials Sent
DEAL-029 Sakura,Sakura,OWNER_003,COMPANY052,Open,,Medium,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,2.0,Sales Qualified Leads
DEAL-030 Sakura,Sakura,OWNER_003,COMPANY108,Open,,Medium,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,2.0,Sales Qualified Leads
DEAL-031 Kakashi,Kakashi,OWNER_003,COMPANY021,Open,,Low,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,2.0,Sales Qualified Leads
DEAL-032 Goku,Goku,OWNER_003,COMPANY067,Open,,Medium,2018605.1064000002,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-11-18,5.0,Proposal/Commercials Sent
DEAL-033 Goku,Goku,OWNER_003,COMPANY043,Open,,Low,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Mining,2025-11-18,2.0,Sales Qualified Leads
DEAL-034 Luffy,Luffy,OWNER_003,COMPANY093,Open,,High,122340000.0,2026-02-28,F. Negotiations,Service + Spectra,Tender,2025-11-18,6.0,Negotiations
DEAL-035 Zoro,Zoro,OWNER_003,COMPANY067,Open,,Medium,3058500.0,2026-01-15,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,2.0,Sales Qualified Leads
DEAL-036 Nami,Nami,OWNER_004,COMPANY110,Open,,Low,91755000.0,2026-01-15,E. Proposal/Commercials Sent,Service + Spectra,Tender,2025-11-19,5.0,Proposal/Commercials Sent
DEAL-037 Sanji,Sanji,OWNER_003,COMPANY048,Open,,Medium,7340400.0,2026-02-15,F. Negotiations,Dock + DMO,Security and Surveillance,2025-11-19,6.0,Negotiations
DEAL-038 Sanji,Sanji,OWNER_002,COMPANY124,Open,,Medium,12019562.448,2026-01-30,E. Proposal/Commercials Sent,,Tender,2025-11-20,5.0,Proposal/Commercials Sent
DEAL-039 Rukia,Rukia,OWNER_001,COMPANY087,Open,,High,3058500.0,2026-04-01,C. Demo Done,Service + Spectra,Renewables,2025-11-26,3.0,Demo Done
DEAL-040 Rukia,Rukia,OWNER_001,COMPANY095,Open,,High,1835100.0,2026-02-10,C. Demo Done,Service + Spectra,Renewables,2025-11-26,3.0,Demo Done
DEAL-041 Light Yagami,Light Yagami,OWNER_003,COMPANY007,Open,,Medium,6117000.0,2026-03-31,E. Proposal/Commercials Sent,Spectra Deal,Mining,2025-12-01,5.0,Proposal/Commercials Sent
DEAL-042 Light Yagami,Light Yagami,OWNER_003,COMPANY067,Open,,Medium,7340400.0,2026-02-28,F. Negotiations,Pure Service,Railways,2025-12-08,6.0,Negotiations
DEAL-043 Eren Yeager,Eren Yeager,OWNER_003,COMPANY068,Open,,Medium,5872320.0,2026-01-31,F. Negotiations,Pure Service,Railways,2025-12-08,6.0,Negotiations
DEAL-044 Mikasa,Mikasa,OWNER_001,COMPANY050,Open,,Low,611696.3298000001,2025-12-15,F. Negotiations,Pure Service,Renewables,2025-12-08,6.0,Negotiations
DEAL-045 Levi,Levi,OWNER_003,COMPANY051,Open,,High,841699.2000000001,2026-01-15,F. Negotiations,Pure Service,Railways,2025-12-08,6.0,Negotiations
DEAL-046 Tanjiro,Tanjiro,OWNER_003,COMPANY161,Open,,High,489360.0,2026-01-31,F. Negotiations,Pure Service,Railways,2026-01-08,6.0,Negotiations
DEAL-047 Tanjiro,Tanjiro,OWNER_003,COMPANY186,Open,,High,489360.0,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Mining,2026-01-08,5.0,Proposal/Commercials Sent
DEAL-048 Tanjiro,Tanjiro,OWNER_001,COMPANY038,,,,,,A. Lead Generated,,,2026-01-08,1.0,Lead Generated
